VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee
2,2023-02-01 00:40:52,2023-02-01 00:48:10,1.0,2.57,1.0,N,48,238,1,12.1,1.0,0.5,2.0,0.0,1.0,19.1,2.5,0.0
2,2023-02-01 00:03:50,2023-02-01 00:14:18,2.0,3.98,1.0,N,79,263,1,17.0,1.0,0.5,4.4,0.0,1.0,26.4,2.5,0.0
2,2023-02-01 00:07:32,2023-02-01 00:18:28,1.0,2.77,1.0,N,249,233,1,14.2,1.0,0.5,1.0,0.0,1.0,20.2,2.5,0.0
2,2023-02-01 00:28:54,2023-02-01 00:38:10,1.0,3.7,1.0,N,107,262,1,15.6,1.0,0.5,5.2,0.0,1.0,25.8,2.5,0.0
2,2023-02-01 00:38:20,2023-02-01 01:02:06,1.0,18.25,2.0,N,132,262,1,70.0,0.0,0.5,16.11,6.55,1.0,97.91,2.5,1.25
2,2023-02-01 00:30:32,2023-02-01 00:35:22,1.0,0.86,1.0,N,90,68,1,7.2,1.0,0.5,2.44,0.0,1.0,14.64,2.5,0.0
2,2023-02-01 00:50:37,2023-02-01 01:00:35,2.0,2.66,1.0,N,230,263,1,13.5,1.0,0.5,3.7,0.0,1.0,22.2,2.5,0.0
2,2023-02-01 00:13:03,2023-02-01 00:20:24,1.0,0.98,1.0,N,230,170,1,8.6,1.0,0.5,2.72,0.0,1.0,16.32,2.5,0.0
1,2023-02-01 00:06:30,2023-02-01 00:14:58,1.0,1.9,1.0,N,164,249,2,11.4,3.5,0.5,0.0,0.0,1.0,16.4,2.5,0.0
1,2023-02-01 00:19:14,2023-02-01 00:21:48,2.0,0.3,1.0,N,158,90,1,5.1,3.5,0.5,1.52,0.0,1.0,11.62,2.5,0.0
1,2023-02-01 00:29:27,2023-02-01 00:38:44,1.0,2.0,1.0,N,186,50,1,12.1,3.5,0.5,3.4,0.0,1.0,20.5,2.5,0.0
1,2023-02-01 00:42:55,2023-02-01 00:59:39,1.0,5.9,1.0,N,48,87,1,26.8,3.5,0.5,4.0,0.0,1.0,35.8,2.5,0.0
2,2023-02-01 00:05:13,2023-02-01 00:16:58,1.0,1.21,1.0,N,114,114,1,11.4,1.0,0.5,4.92,0.0,1.0,21.32,2.5,0.0
2,2023-02-01 00:43:50,2023-02-01 00:57:25,1.0,3.98,1.0,N,142,116,1,18.4,1.0,0.5,4.68,0.0,1.0,28.08,2.5,0.0
2,2023-02-01 00:08:08,2023-02-01 00:16:00,1.0,2.52,1.0,N,79,186,2,12.8,1.0,0.5,0.0,0.0,1.0,17.8,2.5,0.0
1,2023-02-01 00:04:27,2023-02-01 00:12:09,2.0,1.4,1.0,N,164,230,1,9.3,3.5,0.5,0.0,0.0,1.0,14.3,2.5,0.0
1,2023-02-01 00:40:16,2023-02-01 01:02:24,2.0,7.4,1.0,N,164,116,1,31.7,3.5,0.5,11.0,0.0,1.0,47.7,2.5,0.0
1,2023-02-01 00:31:23,2023-02-01 00:40:33,1.0,1.5,1.0,N,164,230,1,10.0,3.5,0.5,0.1,0.0,1.0,15.1,2.5,0.0
1,2023-02-01 00:05:32,2023-02-01 00:20:00,1.0,9.5,1.0,N,138,140,1,36.6,9.75,0.5,13.6,6.55,1.0,68.0,2.5,1.25
2,2023-02-01 00:06:53,2023-02-01 00:12:33,1.0,1.42,1.0,N,107,68,2,8.6,1.0,0.5,0.0,0.0,1.0,13.6,2.5,0.0
2,2023-02-01 00:11:45,2023-02-01 00:24:40,1.0,2.1,1.0,N,263,151,1,14.2,1.0,0.5,3.84,0.0,1.0,23.04,2.5,0.0
1,2023-02-01 00:01:42,2023-02-01 00:38:38,1.0,25.4,1.0,N,132,265,1,97.5,2.25,0.5,0.0,6.0,1.0,107.25,0.0,1.25
2,2023-02-01 00:10:01,2023-02-01 00:16:43,1.0,1.12,1.0,N,79,4,1,8.6,1.0,0.5,2.72,0.0,1.0,16.32,2.5,0.0
2,2023-02-01 00:54:10,2023-02-01 01:05:22,1.0,2.26,1.0,N,264,264,1,14.2,1.0,0.5,3.84,0.0,1.0,23.04,2.5,0.0
1,2023-02-01 00:07:50,2023-02-01 00:09:25,1.0,0.3,1.0,N,234,234,1,4.4,3.5,0.5,0.94,0.0,1.0,10.34,2.5,0.0
1,2023-02-01 00:57:14,2023-02-01 01:02:56,1.0,1.1,1.0,N,249,125,1,7.9,3.5,0.5,2.55,0.0,1.0,15.45,2.5,0.0
2,2023-02-01 00:48:54,2023-02-01 01:07:26,1.0,4.28,1.0,N,100,145,1,22.6,1.0,0.5,5.0,0.0,1.0,32.6,2.5,0.0
2,2023-02-01 00:11:39,2023-02-01 00:19:29,1.0,2.39,1.0,N,163,249,2,-12.1,-1.0,-0.5,0.0,0.0,-1.0,-17.1,-2.5,0.0
